platform_id,name,alternative_name,platform_logo,slug,url,generation,platform_family,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Family Computer,Famicom,277,famicom,https://www.igdb.com/platforms/famicom,3,5,famicom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Family Computer Disk System,Famicom Disk System| FDS,299,fds,https://www.igdb.com/platforms/fds,3,5,fds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Game & Watch,Tricotronic| GW| G&W,531,game-and-watch,https://www.igdb.com/platforms/game-and-watch,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Game Boy,GB,274,gb,https://www.igdb.com/platforms/gb,4,5,Game Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Game Boy Advance,GBA,255,gba,https://www.igdb.com/platforms/gba,6,5,GBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Game Boy Color,GBC,273,gbc,https://www.igdb.com/platforms/gbc,5,5,GBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,New Nintendo 3DS,n3DS,235,new-nintendo-3ds,https://www.igdb.com/platforms/new-nintendo-3ds,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Nintendo 3DS,3DS,240,3ds,https://www.igdb.com/platforms/3ds,8,5,3DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Nintendo 64,N64,260,n64,https://www.igdb.com/platforms/n64,5,5,N64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Nintendo 64DD,64DD,,nintendo-64dd,https://www.igdb.com/platforms/nintendo-64dd,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Nintendo DS,NDS,245,nds,https://www.igdb.com/platforms/nds,7,5,NDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Nintendo DSi,,246,nintendo-dsi,https://www.igdb.com/platforms/nintendo-dsi,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nintendo Entertainment System,NES,229,nes,https://www.igdb.com/platforms/nes,3,5,NES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nintendo GameCube,GCN,262,ngc,https://www.igdb.com/platforms/ngc,6,5,NGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Nintendo PlayStation,Nintendo Super Disc,529,nintendo-playstation,https://www.igdb.com/platforms/nintendo-playstation,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Nintendo Switch,NX,534,switch,https://www.igdb.com/platforms/switch,8,5,Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Pokémon mini,,267,pokemon-mini,https://www.igdb.com/platforms/pokemon-mini,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Satellaview,,595,satellaview,https://www.igdb.com/platforms/satellaview,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Super Famicom,SFC,271,sfam,https://www.igdb.com/platforms/sfam,4,5,SFAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Super Nintendo Entertainment System,SNES| Super Nintendo,535,snes,https://www.igdb.com/platforms/snes,4,5,SNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Virtual Boy,VB,280,virtualboy,https://www.igdb.com/platforms/virtualboy,5,5,virtualboy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Virtual Console,,384,vc,https://www.igdb.com/platforms/vc,,5,VC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wii,Revolution,326,wii,https://www.igdb.com/platforms/wii,7,5,Wii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Wii U,,239,wiiu,https://www.igdb.com/platforms/wiiu,8,5,WiiU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Linux,GNU/Linux,380,linux,https://www.igdb.com/platforms/linux,,4,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Dreamcast,DC,270,dc,https://www.igdb.com/platforms/dc,6,3,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sega 32X,,279,sega32,https://www.igdb.com/platforms/sega32,4,3,Sega32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Sega CD,Mega CD,284,segacd,https://www.igdb.com/platforms/segacd,4,3,segacd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Sega Game Gear,GG,287,gamegear,https://www.igdb.com/platforms/gamegear,4,3,Game Gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
